Row	Locator Number	Address	Zip Code	Distance (miles)	Sale Date	Sale Price	Price Per Sq. Ft.	Sale Validity	Total Acres	Living Units / Story Height	Exterior Wall Type	Architectural Style	Year Built	Total Living Area	Basement	Bed / Total Rooms	Full / Half Baths
419	24S230652	710 Castle Pines Dr.	63021	0.86	10/28/2021	$422,346	$141.63	5	0.3168	1 / 2	Masonry and Frame	Conventional	1996	2,982	Full	4 / 9	3 / 1
420	23R110439	363 Ries Bend Rd.	63021	0.27	8/12/2022	$425,000	$189.30	X	0.3600	1 / 2	Aluminum / Vinyl	Conventional	1993	2,245	Full	4 / 8	2 / 1
421	24S510961	423 Stryker Ct.	63021	0.79	7/22/2022	$425,000	$212.07	X	0.3300	1 / 2	Masonry and Frame	Conventional	1990	2,004	Full	4 / 9	2 / 1
422	24R430996	270 Dickens Farm Ln.	63021	0.32	1/23/2023	$425,900	$158.79	5	0.2310	1 / 2	Aluminum / Vinyl	Conventional	1996	2,682	Full	4 / 9	2 / 2
423	23S311035	515 Coachgate Ct.	63021	0.39	12/6/2021	$430,000	$140.56	X	0.2661	1 / 2	Frame	Conventional	2006	3,059	Full	4 / 9	2 / 1
424	24R230888	422 Oak Glen Dr.	63021	0.86	5/10/2022	$434,000	$211.91	X	0.1389	1 / 2	Aluminum / Vinyl	Conventional	1988	2,048	Full	4 / 8	2 / 1
425	25S640894	761 Charleston Oaks Dr.	63021	0.84	10/6/2021	$435,000	$203.84	X	0.2342	1 / 1	Aluminum / Vinyl	Ranch	1994	2,134	Full	3 / 7	3 / 0
426	23S311080	493 Coachgate Ct.	63021	0.43	7/6/2021	$436,000	$134.90	X	0.2061	1 / 2	Frame	Conventional	2006	3,232	Full	4 / 10	2 / 1
427	24R130476	137 Hollyleaf Dr.	63021	0.60	6/13/2022	$440,000	$215.68	X	0.2700	1 / 2	Aluminum / Vinyl	Conventional	1978	2,040	Full	4 / 9	2 / 1
428	23S220809	306 Fox Den Dr.	63021	0.63	7/27/2021	$442,500	$203.44	X	0.2869	1 / 2	Frame	Conventional	1985	2,175	Full	4 / 9	2 / 1
